Start |2021-11-20-18:11:41.6998398-05:00
1218|999|2021-11-20-18:11:41.7157525-05:00
1158|999|2021-11-20-18:11:41.7157721-05:00
1956|715|2021-11-20-18:11:41.7157978-05:00
1663|999|2021-11-20-18:11:41.7158214-05:00
773|191|2021-11-20-18:11:41.7158485-05:00
949|760|2021-11-20-18:11:41.7158761-05:00
1402|532|2021-11-20-18:11:41.7159179-05:00
57|999|2021-11-20-18:11:41.7159468-05:00
255|999|2021-11-20-18:11:41.7159671-05:00
1329|1002|2021-11-20-18:11:41.7159841-05:00
1772|175|2021-11-20-18:11:41.7160348-05:00
1913|999|2021-11-20-18:11:41.7160574-05:00
931|345|2021-11-20-18:11:41.7160740-05:00
858|474|2021-11-20-18:11:41.7160904-05:00
181|996|2021-11-20-18:11:41.7161064-05:00
1869|533|2021-11-20-18:11:41.7161226-05:00
1051|189|2021-11-20-18:11:41.7161388-05:00
420|343|2021-11-20-18:11:41.7161546-05:00
428|996|2021-11-20-18:11:41.7161712-05:00
109|996|2021-11-20-18:11:41.7161878-05:00
855|917|2021-11-20-18:11:41.7162038-05:00
1470|995|2021-11-20-18:11:41.7162199-05:00
1997|237|2021-11-20-18:11:41.7162380-05:00
1389|791|2021-11-20-18:11:41.7162597-05:00
1787|995|2021-11-20-18:11:41.7162811-05:00
999|996|2021-11-20-18:11:41.7162991-05:00
703|999|2021-11-20-18:11:41.7163157-05:00
579|930|2021-11-20-18:11:41.7163317-05:00
1436|999|2021-11-20-18:11:41.7163481-05:00
1460|999|2021-11-20-18:11:41.7163641-05:00
327|104|2021-11-20-18:11:41.7163800-05:00
38|996|2021-11-20-18:11:41.7163964-05:00
570|996|2021-11-20-18:11:41.7164128-05:00
1765|659|2021-11-20-18:11:41.7164312-05:00
1144|643|2021-11-20-18:11:41.7164497-05:00
1301|102|2021-11-20-18:11:41.7164662-05:00
656|360|2021-11-20-18:11:41.7164824-05:00
658|994|2021-11-20-18:11:41.7164983-05:00
483|995|2021-11-20-18:11:41.7165142-05:00
1728|936|2021-11-20-18:11:41.7165298-05:00
1407|996|2021-11-20-18:11:41.7165459-05:00
1430|999|2021-11-20-18:11:41.7165622-05:00
973|182|2021-11-20-18:11:41.7165783-05:00
1585|496|2021-11-20-18:11:41.7166051-05:00
961|241|2021-11-20-18:11:41.7166224-05:00
313|999|2021-11-20-18:11:41.7166390-05:00
1820|840|2021-11-20-18:11:41.7166553-05:00
433|485|2021-11-20-18:11:41.7166717-05:00
1671|968|2021-11-20-18:11:41.7166880-05:00
1909|996|2021-11-20-18:11:41.7167045-05:00
1822|510|2021-11-20-18:11:41.7167265-05:00
296|451|2021-11-20-18:11:41.7167530-05:00
1210|996|2021-11-20-18:11:41.7167731-05:00
879|757|2021-11-20-18:11:41.7167891-05:00
234|996|2021-11-20-18:11:41.7168045-05:00
1767|999|2021-11-20-18:11:41.7168201-05:00
1160|999|2021-11-20-18:11:41.7168359-05:00
588|795|2021-11-20-18:11:41.7168515-05:00
1881|996|2021-11-20-18:11:41.7168783-05:00
1769|790|2021-11-20-18:11:41.7169011-05:00
248|238|2021-11-20-18:11:41.7169172-05:00
824|999|2021-11-20-18:11:41.7169327-05:00
639|751|2021-11-20-18:11:41.7169482-05:00
833|569|2021-11-20-18:11:41.7169636-05:00
988|276|2021-11-20-18:11:41.7169793-05:00
1736|653|2021-11-20-18:11:41.7169949-05:00
1351|999|2021-11-20-18:11:41.7170105-05:00
1173|668|2021-11-20-18:11:41.7170260-05:00
1721|905|2021-11-20-18:11:41.7170418-05:00
900|631|2021-11-20-18:11:41.7170574-05:00
1223|636|2021-11-20-18:11:41.7170734-05:00
401|995|2021-11-20-18:11:41.7170892-05:00
1943|285|2021-11-20-18:11:41.7171048-05:00
725|610|2021-11-20-18:11:41.7171205-05:00
735|423|2021-11-20-18:11:41.7171361-05:00
1452|869|2021-11-20-18:11:41.7171518-05:00
478|994|2021-11-20-18:11:41.7171672-05:00
413|995|2021-11-20-18:11:41.7171893-05:00
407|356|2021-11-20-18:11:41.7172057-05:00
1483|199|2021-11-20-18:11:41.7172215-05:00
1190|995|2021-11-20-18:11:41.7172378-05:00
242|375|2021-11-20-18:11:41.7172539-05:00
920|628|2021-11-20-18:11:41.7172697-05:00
1534|314|2021-11-20-18:11:41.7172859-05:00
1638|995|2021-11-20-18:11:41.7173017-05:00
29|995|2021-11-20-18:11:41.7173264-05:00
839|829|2021-11-20-18:11:41.7173516-05:00
1699|995|2021-11-20-18:11:41.7173761-05:00
1531|170|2021-11-20-18:11:41.7173992-05:00
1385|842|2021-11-20-18:11:41.7174280-05:00
130|994|2021-11-20-18:11:41.7174569-05:00
64|706|2021-11-20-18:11:41.7174779-05:00
784|162|2021-11-20-18:11:41.7174996-05:00
727|188|2021-11-20-18:11:41.7175222-05:00
1479|187|2021-11-20-18:11:41.7175414-05:00
581|993|2021-11-20-18:11:41.7175564-05:00
800|50|2021-11-20-18:11:41.7175725-05:00
144|994|2021-11-20-18:11:41.7176003-05:00
596|995|2021-11-20-18:11:41.7176206-05:00
1238|321|2021-11-20-18:11:41.7176365-05:00
978|994|2021-11-20-18:11:41.7176590-05:00
648|994|2021-11-20-18:11:41.7176826-05:00
739|995|2021-11-20-18:11:41.7177060-05:00
