Start |2021-11-20-17:26:39.2644872-05:00
868,868,2021-11-20-17:26:39.2682905-05:00
1834,1591912,2021-11-20-17:26:39.2686964-05:00
145,230827240,2021-11-20-17:26:39.2687272-05:00
1695,391252171800,2021-11-20-17:26:39.2687379-05:00
1014,396729702205200,2021-11-20-17:26:39.2687452-05:00
1926,∞,2021-11-20-17:26:39.2691868-05:00
1370,∞,2021-11-20-17:26:39.2691884-05:00
1819,∞,2021-11-20-17:26:39.2691901-05:00
1785,∞,2021-11-20-17:26:39.2691917-05:00
1912,∞,2021-11-20-17:26:39.2691934-05:00
452,∞,2021-11-20-17:26:39.2691950-05:00
154,∞,2021-11-20-17:26:39.2691967-05:00
277,∞,2021-11-20-17:26:39.2692005-05:00
1034,∞,2021-11-20-17:26:39.2692027-05:00
460,∞,2021-11-20-17:26:39.2692045-05:00
1757,∞,2021-11-20-17:26:39.2692062-05:00
84,∞,2021-11-20-17:26:39.2692079-05:00
144,∞,2021-11-20-17:26:39.2692096-05:00
1257,∞,2021-11-20-17:26:39.2692112-05:00
46,∞,2021-11-20-17:26:39.2692128-05:00
1135,∞,2021-11-20-17:26:39.2692145-05:00
495,∞,2021-11-20-17:26:39.2692161-05:00
30,∞,2021-11-20-17:26:39.2692178-05:00
959,∞,2021-11-20-17:26:39.2692195-05:00
1122,∞,2021-11-20-17:26:39.2692211-05:00
1489,∞,2021-11-20-17:26:39.2692227-05:00
641,∞,2021-11-20-17:26:39.2692248-05:00
204,∞,2021-11-20-17:26:39.2692266-05:00
322,∞,2021-11-20-17:26:39.2692283-05:00
1945,∞,2021-11-20-17:26:39.2692299-05:00
254,∞,2021-11-20-17:26:39.2692315-05:00
1300,∞,2021-11-20-17:26:39.2692331-05:00
71,∞,2021-11-20-17:26:39.2692348-05:00
1268,∞,2021-11-20-17:26:39.2692364-05:00
208,∞,2021-11-20-17:26:39.2692380-05:00
1976,∞,2021-11-20-17:26:39.2692397-05:00
1182,∞,2021-11-20-17:26:39.2692413-05:00
203,∞,2021-11-20-17:26:39.2692429-05:00
94,∞,2021-11-20-17:26:39.2692445-05:00
809,∞,2021-11-20-17:26:39.2692564-05:00
327,∞,2021-11-20-17:26:39.2692589-05:00
764,∞,2021-11-20-17:26:39.2692608-05:00
278,∞,2021-11-20-17:26:39.2692626-05:00
927,∞,2021-11-20-17:26:39.2692643-05:00
338,∞,2021-11-20-17:26:39.2692660-05:00
770,∞,2021-11-20-17:26:39.2692678-05:00
495,∞,2021-11-20-17:26:39.2692695-05:00
457,∞,2021-11-20-17:26:39.2692713-05:00
429,∞,2021-11-20-17:26:39.2692730-05:00
1386,∞,2021-11-20-17:26:39.2692747-05:00
1976,∞,2021-11-20-17:26:39.2692764-05:00
1637,∞,2021-11-20-17:26:39.2692782-05:00
1564,∞,2021-11-20-17:26:39.2692799-05:00
1118,∞,2021-11-20-17:26:39.2692816-05:00
1189,∞,2021-11-20-17:26:39.2692834-05:00
745,∞,2021-11-20-17:26:39.2692851-05:00
573,∞,2021-11-20-17:26:39.2692869-05:00
432,∞,2021-11-20-17:26:39.2692886-05:00
427,∞,2021-11-20-17:26:39.2692903-05:00
1180,∞,2021-11-20-17:26:39.2692921-05:00
1286,∞,2021-11-20-17:26:39.2692938-05:00
1166,∞,2021-11-20-17:26:39.2692956-05:00
1498,∞,2021-11-20-17:26:39.2692973-05:00
1840,∞,2021-11-20-17:26:39.2692991-05:00
1659,∞,2021-11-20-17:26:39.2693008-05:00
1151,∞,2021-11-20-17:26:39.2693025-05:00
83,∞,2021-11-20-17:26:39.2693042-05:00
1008,∞,2021-11-20-17:26:39.2693059-05:00
827,∞,2021-11-20-17:26:39.2693077-05:00
483,∞,2021-11-20-17:26:39.2693094-05:00
575,∞,2021-11-20-17:26:39.2693111-05:00
1880,∞,2021-11-20-17:26:39.2693129-05:00
50,∞,2021-11-20-17:26:39.2693146-05:00
448,∞,2021-11-20-17:26:39.2693293-05:00
1718,∞,2021-11-20-17:26:39.2693320-05:00
371,∞,2021-11-20-17:26:39.2693340-05:00
217,∞,2021-11-20-17:26:39.2693358-05:00
1102,∞,2021-11-20-17:26:39.2693376-05:00
622,∞,2021-11-20-17:26:39.2693393-05:00
353,∞,2021-11-20-17:26:39.2693410-05:00
994,∞,2021-11-20-17:26:39.2693426-05:00
184,∞,2021-11-20-17:26:39.2693443-05:00
1775,∞,2021-11-20-17:26:39.2693460-05:00
936,∞,2021-11-20-17:26:39.2693477-05:00
1969,∞,2021-11-20-17:26:39.2693493-05:00
616,∞,2021-11-20-17:26:39.2693510-05:00
1736,∞,2021-11-20-17:26:39.2693527-05:00
952,∞,2021-11-20-17:26:39.2693547-05:00
80,∞,2021-11-20-17:26:39.2693563-05:00
1462,∞,2021-11-20-17:26:39.2693580-05:00
1404,∞,2021-11-20-17:26:39.2693597-05:00
751,∞,2021-11-20-17:26:39.2693614-05:00
1776,∞,2021-11-20-17:26:39.2693631-05:00
913,∞,2021-11-20-17:26:39.2693647-05:00
1523,∞,2021-11-20-17:26:39.2693664-05:00
1161,∞,2021-11-20-17:26:39.2693681-05:00
1266,∞,2021-11-20-17:26:39.2693697-05:00
438,∞,2021-11-20-17:26:39.2693714-05:00
1268,∞,2021-11-20-17:26:39.2693730-05:00
1186,∞,2021-11-20-17:26:39.2693747-05:00
687,∞,2021-11-20-17:26:39.2693764-05:00
1486,∞,2021-11-20-17:26:39.2693780-05:00
1630,∞,2021-11-20-17:26:39.2693797-05:00
1946,∞,2021-11-20-17:26:39.2693814-05:00
811,∞,2021-11-20-17:26:39.2693830-05:00
96,∞,2021-11-20-17:26:39.2693847-05:00
1588,∞,2021-11-20-17:26:39.2693864-05:00
1116,∞,2021-11-20-17:26:39.2693925-05:00
1399,∞,2021-11-20-17:26:39.2693949-05:00
819,∞,2021-11-20-17:26:39.2693968-05:00
529,∞,2021-11-20-17:26:39.2693985-05:00
1470,∞,2021-11-20-17:26:39.2694002-05:00
1810,∞,2021-11-20-17:26:39.2694018-05:00
75,∞,2021-11-20-17:26:39.2694034-05:00
187,∞,2021-11-20-17:26:39.2694051-05:00
1103,∞,2021-11-20-17:26:39.2694067-05:00
1391,∞,2021-11-20-17:26:39.2694084-05:00
563,∞,2021-11-20-17:26:39.2694100-05:00
1870,∞,2021-11-20-17:26:39.2694122-05:00
1043,∞,2021-11-20-17:26:39.2694139-05:00
1415,∞,2021-11-20-17:26:39.2694155-05:00
1130,∞,2021-11-20-17:26:39.2694172-05:00
929,∞,2021-11-20-17:26:39.2694188-05:00
1365,∞,2021-11-20-17:26:39.2694205-05:00
1078,∞,2021-11-20-17:26:39.2694221-05:00
1824,∞,2021-11-20-17:26:39.2694238-05:00
105,∞,2021-11-20-17:26:39.2694254-05:00
1136,∞,2021-11-20-17:26:39.2694270-05:00
925,∞,2021-11-20-17:26:39.2694288-05:00
558,∞,2021-11-20-17:26:39.2694304-05:00
1105,∞,2021-11-20-17:26:39.2694320-05:00
1779,∞,2021-11-20-17:26:39.2694337-05:00
1834,∞,2021-11-20-17:26:39.2694353-05:00
1435,∞,2021-11-20-17:26:39.2694369-05:00
1665,∞,2021-11-20-17:26:39.2694386-05:00
1508,∞,2021-11-20-17:26:39.2694403-05:00
554,∞,2021-11-20-17:26:39.2694419-05:00
1828,∞,2021-11-20-17:26:39.2694436-05:00
125,∞,2021-11-20-17:26:39.2694452-05:00
1873,∞,2021-11-20-17:26:39.2694468-05:00
1028,∞,2021-11-20-17:26:39.2694485-05:00
620,∞,2021-11-20-17:26:39.2694546-05:00
1553,∞,2021-11-20-17:26:39.2694570-05:00
1261,∞,2021-11-20-17:26:39.2694589-05:00
933,∞,2021-11-20-17:26:39.2694606-05:00
1933,∞,2021-11-20-17:26:39.2694622-05:00
941,∞,2021-11-20-17:26:39.2694639-05:00
1701,∞,2021-11-20-17:26:39.2694656-05:00
727,∞,2021-11-20-17:26:39.2694672-05:00
420,∞,2021-11-20-17:26:39.2694690-05:00
1770,∞,2021-11-20-17:26:39.2694707-05:00
704,∞,2021-11-20-17:26:39.2694724-05:00
567,∞,2021-11-20-17:26:39.2694740-05:00
225,∞,2021-11-20-17:26:39.2694756-05:00
1771,∞,2021-11-20-17:26:39.2694773-05:00
1556,∞,2021-11-20-17:26:39.2694789-05:00
557,∞,2021-11-20-17:26:39.2694805-05:00
265,∞,2021-11-20-17:26:39.2694821-05:00
868,∞,2021-11-20-17:26:39.2694838-05:00
987,∞,2021-11-20-17:26:39.2694854-05:00
1991,∞,2021-11-20-17:26:39.2694870-05:00
452,∞,2021-11-20-17:26:39.2694886-05:00
192,∞,2021-11-20-17:26:39.2694902-05:00
842,∞,2021-11-20-17:26:39.2694918-05:00
1713,∞,2021-11-20-17:26:39.2694934-05:00
750,∞,2021-11-20-17:26:39.2694950-05:00
1635,∞,2021-11-20-17:26:39.2694966-05:00
375,∞,2021-11-20-17:26:39.2694983-05:00
410,∞,2021-11-20-17:26:39.2694999-05:00
679,∞,2021-11-20-17:26:39.2695016-05:00
549,∞,2021-11-20-17:26:39.2695051-05:00
1563,∞,2021-11-20-17:26:39.2695072-05:00
438,∞,2021-11-20-17:26:39.2695090-05:00
1997,∞,2021-11-20-17:26:39.2695108-05:00
16,∞,2021-11-20-17:26:39.2695126-05:00
796,∞,2021-11-20-17:26:39.2695191-05:00
1577,∞,2021-11-20-17:26:39.2695214-05:00
1668,∞,2021-11-20-17:26:39.2695233-05:00
432,∞,2021-11-20-17:26:39.2695251-05:00
1145,∞,2021-11-20-17:26:39.2695269-05:00
883,∞,2021-11-20-17:26:39.2695287-05:00
403,∞,2021-11-20-17:26:39.2695305-05:00
410,∞,2021-11-20-17:26:39.2695323-05:00
505,∞,2021-11-20-17:26:39.2695341-05:00
788,∞,2021-11-20-17:26:39.2695359-05:00
401,∞,2021-11-20-17:26:39.2695377-05:00
1212,∞,2021-11-20-17:26:39.2695395-05:00
1610,∞,2021-11-20-17:26:39.2695412-05:00
1664,∞,2021-11-20-17:26:39.2695430-05:00
110,∞,2021-11-20-17:26:39.2695448-05:00
951,∞,2021-11-20-17:26:39.2695466-05:00
289,∞,2021-11-20-17:26:39.2695484-05:00
960,∞,2021-11-20-17:26:39.2695502-05:00
1137,∞,2021-11-20-17:26:39.2695520-05:00
1881,∞,2021-11-20-17:26:39.2695538-05:00
576,∞,2021-11-20-17:26:39.2695556-05:00
428,∞,2021-11-20-17:26:39.2695574-05:00
712,∞,2021-11-20-17:26:39.2695592-05:00
1547,∞,2021-11-20-17:26:39.2695610-05:00
184,∞,2021-11-20-17:26:39.2695628-05:00
298,∞,2021-11-20-17:26:39.2695646-05:00
566,∞,2021-11-20-17:26:39.2695664-05:00
1292,∞,2021-11-20-17:26:39.2695682-05:00
49,∞,2021-11-20-17:26:39.2695699-05:00
1871,∞,2021-11-20-17:26:39.2695717-05:00
208,∞,2021-11-20-17:26:39.2695735-05:00
266,∞,2021-11-20-17:26:39.2695753-05:00
569,∞,2021-11-20-17:26:39.2695771-05:00
210,∞,2021-11-20-17:26:39.2695789-05:00
975,∞,2021-11-20-17:26:39.2695851-05:00
1979,∞,2021-11-20-17:26:39.2695874-05:00
889,∞,2021-11-20-17:26:39.2695893-05:00
1833,∞,2021-11-20-17:26:39.2695910-05:00
1723,∞,2021-11-20-17:26:39.2695928-05:00
104,∞,2021-11-20-17:26:39.2695946-05:00
1588,∞,2021-11-20-17:26:39.2695965-05:00
43,∞,2021-11-20-17:26:39.2695983-05:00
1687,∞,2021-11-20-17:26:39.2696001-05:00
55,∞,2021-11-20-17:26:39.2696019-05:00
1313,∞,2021-11-20-17:26:39.2696037-05:00
1537,∞,2021-11-20-17:26:39.2696054-05:00
26,∞,2021-11-20-17:26:39.2696072-05:00
711,∞,2021-11-20-17:26:39.2696090-05:00
301,∞,2021-11-20-17:26:39.2696108-05:00
1728,∞,2021-11-20-17:26:39.2696127-05:00
260,∞,2021-11-20-17:26:39.2696145-05:00
603,∞,2021-11-20-17:26:39.2696162-05:00
1301,∞,2021-11-20-17:26:39.2696180-05:00
117,∞,2021-11-20-17:26:39.2696198-05:00
1439,∞,2021-11-20-17:26:39.2696216-05:00
368,∞,2021-11-20-17:26:39.2696234-05:00
865,∞,2021-11-20-17:26:39.2696252-05:00
122,∞,2021-11-20-17:26:39.2696270-05:00
248,∞,2021-11-20-17:26:39.2696288-05:00
847,∞,2021-11-20-17:26:39.2696306-05:00
318,∞,2021-11-20-17:26:39.2696323-05:00
1111,∞,2021-11-20-17:26:39.2696341-05:00
361,∞,2021-11-20-17:26:39.2696359-05:00
633,∞,2021-11-20-17:26:39.2696377-05:00
580,∞,2021-11-20-17:26:39.2696395-05:00
136,∞,2021-11-20-17:26:39.2696412-05:00
643,∞,2021-11-20-17:26:39.2696430-05:00
1400,∞,2021-11-20-17:26:39.2696448-05:00
689,∞,2021-11-20-17:26:39.2696469-05:00
130,∞,2021-11-20-17:26:39.2696558-05:00
62,∞,2021-11-20-17:26:39.2696587-05:00
456,∞,2021-11-20-17:26:39.2696607-05:00
1236,∞,2021-11-20-17:26:39.2696625-05:00
1033,∞,2021-11-20-17:26:39.2696643-05:00
293,∞,2021-11-20-17:26:39.2696661-05:00
534,∞,2021-11-20-17:26:39.2696678-05:00
741,∞,2021-11-20-17:26:39.2696694-05:00
658,∞,2021-11-20-17:26:39.2696710-05:00
235,∞,2021-11-20-17:26:39.2696727-05:00
646,∞,2021-11-20-17:26:39.2696743-05:00
273,∞,2021-11-20-17:26:39.2696759-05:00
1854,∞,2021-11-20-17:26:39.2696775-05:00
992,∞,2021-11-20-17:26:39.2696791-05:00
321,∞,2021-11-20-17:26:39.2696807-05:00
1611,∞,2021-11-20-17:26:39.2696823-05:00
1604,∞,2021-11-20-17:26:39.2696839-05:00
965,∞,2021-11-20-17:26:39.2696856-05:00
453,∞,2021-11-20-17:26:39.2696872-05:00
770,∞,2021-11-20-17:26:39.2696888-05:00
608,∞,2021-11-20-17:26:39.2696905-05:00
1114,∞,2021-11-20-17:26:39.2696921-05:00
767,∞,2021-11-20-17:26:39.2697007-05:00
1585,∞,2021-11-20-17:26:39.2697032-05:00
877,∞,2021-11-20-17:26:39.2697050-05:00
1786,∞,2021-11-20-17:26:39.2697068-05:00
478,∞,2021-11-20-17:26:39.2697086-05:00
1681,∞,2021-11-20-17:26:39.2697104-05:00
1054,∞,2021-11-20-17:26:39.2697121-05:00
1474,∞,2021-11-20-17:26:39.2697139-05:00
1177,∞,2021-11-20-17:26:39.2697157-05:00
894,∞,2021-11-20-17:26:39.2697175-05:00
626,∞,2021-11-20-17:26:39.2697193-05:00
23,∞,2021-11-20-17:26:39.2697210-05:00
171,∞,2021-11-20-17:26:39.2697228-05:00
1666,∞,2021-11-20-17:26:39.2697247-05:00
1803,∞,2021-11-20-17:26:39.2697265-05:00
1366,∞,2021-11-20-17:26:39.2697282-05:00
268,∞,2021-11-20-17:26:39.2697300-05:00
1823,∞,2021-11-20-17:26:39.2697318-05:00
906,∞,2021-11-20-17:26:39.2697336-05:00
1627,∞,2021-11-20-17:26:39.2697354-05:00
208,∞,2021-11-20-17:26:39.2697372-05:00
1887,∞,2021-11-20-17:26:39.2697389-05:00
1602,∞,2021-11-20-17:26:39.2697407-05:00
575,∞,2021-11-20-17:26:39.2697425-05:00
463,∞,2021-11-20-17:26:39.2697443-05:00
120,∞,2021-11-20-17:26:39.2697461-05:00
41,∞,2021-11-20-17:26:39.2697478-05:00
1022,∞,2021-11-20-17:26:39.2697496-05:00
976,∞,2021-11-20-17:26:39.2697514-05:00
1171,∞,2021-11-20-17:26:39.2697532-05:00
191,∞,2021-11-20-17:26:39.2697550-05:00
630,∞,2021-11-20-17:26:39.2697567-05:00
82,∞,2021-11-20-17:26:39.2697585-05:00
1016,∞,2021-11-20-17:26:39.2697603-05:00
1294,∞,2021-11-20-17:26:39.2697683-05:00
871,∞,2021-11-20-17:26:39.2697707-05:00
360,∞,2021-11-20-17:26:39.2697726-05:00
1246,∞,2021-11-20-17:26:39.2697744-05:00
1815,∞,2021-11-20-17:26:39.2697761-05:00
852,∞,2021-11-20-17:26:39.2697777-05:00
1687,∞,2021-11-20-17:26:39.2697793-05:00
1184,∞,2021-11-20-17:26:39.2697810-05:00
1057,∞,2021-11-20-17:26:39.2697826-05:00
1752,∞,2021-11-20-17:26:39.2697843-05:00
1646,∞,2021-11-20-17:26:39.2697859-05:00
1832,∞,2021-11-20-17:26:39.2697877-05:00
822,∞,2021-11-20-17:26:39.2697893-05:00
654,∞,2021-11-20-17:26:39.2697909-05:00
1807,∞,2021-11-20-17:26:39.2697926-05:00
238,∞,2021-11-20-17:26:39.2697942-05:00
697,∞,2021-11-20-17:26:39.2697958-05:00
629,∞,2021-11-20-17:26:39.2697975-05:00
1864,∞,2021-11-20-17:26:39.2697992-05:00
981,∞,2021-11-20-17:26:39.2698008-05:00
907,∞,2021-11-20-17:26:39.2698025-05:00
880,∞,2021-11-20-17:26:39.2698041-05:00
1983,∞,2021-11-20-17:26:39.2698057-05:00
302,∞,2021-11-20-17:26:39.2698074-05:00
1324,∞,2021-11-20-17:26:39.2698090-05:00
359,∞,2021-11-20-17:26:39.2698107-05:00
1641,∞,2021-11-20-17:26:39.2698123-05:00
33,∞,2021-11-20-17:26:39.2698139-05:00
498,∞,2021-11-20-17:26:39.2698156-05:00
7,∞,2021-11-20-17:26:39.2698172-05:00
703,∞,2021-11-20-17:26:39.2698189-05:00
1995,∞,2021-11-20-17:26:39.2698205-05:00
1940,∞,2021-11-20-17:26:39.2698221-05:00
1155,∞,2021-11-20-17:26:39.2698238-05:00
372,∞,2021-11-20-17:26:39.2698299-05:00
933,∞,2021-11-20-17:26:39.2698322-05:00
1007,∞,2021-11-20-17:26:39.2698341-05:00
1021,∞,2021-11-20-17:26:39.2698358-05:00
9,∞,2021-11-20-17:26:39.2698376-05:00
55,∞,2021-11-20-17:26:39.2698393-05:00
1939,∞,2021-11-20-17:26:39.2698410-05:00
1023,∞,2021-11-20-17:26:39.2698428-05:00
830,∞,2021-11-20-17:26:39.2698445-05:00
1849,∞,2021-11-20-17:26:39.2698463-05:00
928,∞,2021-11-20-17:26:39.2698479-05:00
630,∞,2021-11-20-17:26:39.2698496-05:00
1297,∞,2021-11-20-17:26:39.2698512-05:00
1386,∞,2021-11-20-17:26:39.2698529-05:00
1214,∞,2021-11-20-17:26:39.2698545-05:00
738,∞,2021-11-20-17:26:39.2698561-05:00
474,∞,2021-11-20-17:26:39.2698596-05:00
1562,∞,2021-11-20-17:26:39.2698618-05:00
766,∞,2021-11-20-17:26:39.2698636-05:00
1101,∞,2021-11-20-17:26:39.2698653-05:00
110,∞,2021-11-20-17:26:39.2698671-05:00
415,∞,2021-11-20-17:26:39.2698688-05:00
887,∞,2021-11-20-17:26:39.2698706-05:00
58,∞,2021-11-20-17:26:39.2698723-05:00
1922,∞,2021-11-20-17:26:39.2698740-05:00
1457,∞,2021-11-20-17:26:39.2698758-05:00
1211,∞,2021-11-20-17:26:39.2698776-05:00
1654,∞,2021-11-20-17:26:39.2698793-05:00
686,∞,2021-11-20-17:26:39.2698810-05:00
1050,∞,2021-11-20-17:26:39.2698828-05:00
1049,∞,2021-11-20-17:26:39.2698846-05:00
1651,∞,2021-11-20-17:26:39.2698863-05:00
1891,∞,2021-11-20-17:26:39.2698880-05:00
1667,∞,2021-11-20-17:26:39.2698898-05:00
