Start |2021-11-20-17:25:32.9300184-05:00
1055,1055,2021-11-20-17:25:32.9334903-05:00
244,257420,2021-11-20-17:25:32.9338331-05:00
1897,488325740,2021-11-20-17:25:32.9338610-05:00
1823,890217824020,2021-11-20-17:25:32.9338700-05:00
1700,1513370300834000,2021-11-20-17:25:32.9339632-05:00
932,∞,2021-11-20-17:25:32.9350419-05:00
706,∞,2021-11-20-17:25:32.9350435-05:00
1746,∞,2021-11-20-17:25:32.9350452-05:00
1952,∞,2021-11-20-17:25:32.9350468-05:00
336,∞,2021-11-20-17:25:32.9350484-05:00
1364,∞,2021-11-20-17:25:32.9350501-05:00
1224,∞,2021-11-20-17:25:32.9350518-05:00
497,∞,2021-11-20-17:25:32.9350534-05:00
1058,∞,2021-11-20-17:25:32.9350550-05:00
69,∞,2021-11-20-17:25:32.9350567-05:00
322,∞,2021-11-20-17:25:32.9350583-05:00
1569,∞,2021-11-20-17:25:32.9350643-05:00
529,∞,2021-11-20-17:25:32.9350666-05:00
1434,∞,2021-11-20-17:25:32.9350684-05:00
804,∞,2021-11-20-17:25:32.9350701-05:00
662,∞,2021-11-20-17:25:32.9350718-05:00
497,∞,2021-11-20-17:25:32.9350734-05:00
1837,∞,2021-11-20-17:25:32.9350751-05:00
689,∞,2021-11-20-17:25:32.9350787-05:00
894,∞,2021-11-20-17:25:32.9350804-05:00
1817,∞,2021-11-20-17:25:32.9350821-05:00
107,∞,2021-11-20-17:25:32.9350837-05:00
194,∞,2021-11-20-17:25:32.9350854-05:00
551,∞,2021-11-20-17:25:32.9350871-05:00
1526,∞,2021-11-20-17:25:32.9350887-05:00
666,∞,2021-11-20-17:25:32.9350923-05:00
507,∞,2021-11-20-17:25:32.9350945-05:00
260,∞,2021-11-20-17:25:32.9350962-05:00
689,∞,2021-11-20-17:25:32.9350980-05:00
1953,∞,2021-11-20-17:25:32.9350996-05:00
1923,∞,2021-11-20-17:25:32.9351013-05:00
546,∞,2021-11-20-17:25:32.9351029-05:00
1673,∞,2021-11-20-17:25:32.9351046-05:00
916,∞,2021-11-20-17:25:32.9351062-05:00
1214,∞,2021-11-20-17:25:32.9351079-05:00
1707,∞,2021-11-20-17:25:32.9351095-05:00
34,∞,2021-11-20-17:25:32.9351112-05:00
1780,∞,2021-11-20-17:25:32.9351129-05:00
800,∞,2021-11-20-17:25:32.9351146-05:00
510,∞,2021-11-20-17:25:32.9351162-05:00
813,∞,2021-11-20-17:25:32.9351178-05:00
1290,∞,2021-11-20-17:25:32.9351195-05:00
50,∞,2021-11-20-17:25:32.9351211-05:00
1305,∞,2021-11-20-17:25:32.9351227-05:00
506,∞,2021-11-20-17:25:32.9351244-05:00
901,∞,2021-11-20-17:25:32.9351312-05:00
1224,∞,2021-11-20-17:25:32.9351336-05:00
1496,∞,2021-11-20-17:25:32.9351354-05:00
1733,∞,2021-11-20-17:25:32.9351371-05:00
653,∞,2021-11-20-17:25:32.9351389-05:00
1501,∞,2021-11-20-17:25:32.9351406-05:00
26,∞,2021-11-20-17:25:32.9351422-05:00
1236,∞,2021-11-20-17:25:32.9351438-05:00
1433,∞,2021-11-20-17:25:32.9351454-05:00
561,∞,2021-11-20-17:25:32.9351563-05:00
825,∞,2021-11-20-17:25:32.9351586-05:00
512,∞,2021-11-20-17:25:32.9351602-05:00
1195,∞,2021-11-20-17:25:32.9351618-05:00
426,∞,2021-11-20-17:25:32.9351634-05:00
1669,∞,2021-11-20-17:25:32.9351649-05:00
857,∞,2021-11-20-17:25:32.9351665-05:00
965,∞,2021-11-20-17:25:32.9351681-05:00
1807,∞,2021-11-20-17:25:32.9351696-05:00
1105,∞,2021-11-20-17:25:32.9351712-05:00
146,∞,2021-11-20-17:25:32.9351728-05:00
1775,∞,2021-11-20-17:25:32.9351743-05:00
1896,∞,2021-11-20-17:25:32.9351759-05:00
1612,∞,2021-11-20-17:25:32.9351775-05:00
220,∞,2021-11-20-17:25:32.9351790-05:00
1096,∞,2021-11-20-17:25:32.9351806-05:00
629,∞,2021-11-20-17:25:32.9351822-05:00
716,∞,2021-11-20-17:25:32.9351837-05:00
1037,∞,2021-11-20-17:25:32.9351853-05:00
180,∞,2021-11-20-17:25:32.9351869-05:00
82,∞,2021-11-20-17:25:32.9351884-05:00
527,∞,2021-11-20-17:25:32.9351919-05:00
58,∞,2021-11-20-17:25:32.9351939-05:00
889,∞,2021-11-20-17:25:32.9351957-05:00
46,∞,2021-11-20-17:25:32.9351973-05:00
626,∞,2021-11-20-17:25:32.9352020-05:00
1442,∞,2021-11-20-17:25:32.9352042-05:00
1011,∞,2021-11-20-17:25:32.9352060-05:00
526,∞,2021-11-20-17:25:32.9352077-05:00
36,∞,2021-11-20-17:25:32.9352093-05:00
453,∞,2021-11-20-17:25:32.9352109-05:00
1898,∞,2021-11-20-17:25:32.9352125-05:00
1309,∞,2021-11-20-17:25:32.9352141-05:00
240,∞,2021-11-20-17:25:32.9352157-05:00
356,∞,2021-11-20-17:25:32.9352173-05:00
390,∞,2021-11-20-17:25:32.9352188-05:00
1196,∞,2021-11-20-17:25:32.9352204-05:00
838,∞,2021-11-20-17:25:32.9352220-05:00
1355,∞,2021-11-20-17:25:32.9352236-05:00
1131,∞,2021-11-20-17:25:32.9352252-05:00
1652,∞,2021-11-20-17:25:32.9352268-05:00
1848,∞,2021-11-20-17:25:32.9352284-05:00
1483,∞,2021-11-20-17:25:32.9352300-05:00
944,∞,2021-11-20-17:25:32.9352316-05:00
1160,∞,2021-11-20-17:25:32.9352332-05:00
730,∞,2021-11-20-17:25:32.9352348-05:00
1005,∞,2021-11-20-17:25:32.9352364-05:00
1611,∞,2021-11-20-17:25:32.9352379-05:00
1276,∞,2021-11-20-17:25:32.9352395-05:00
637,∞,2021-11-20-17:25:32.9352411-05:00
25,∞,2021-11-20-17:25:32.9352427-05:00
785,∞,2021-11-20-17:25:32.9352442-05:00
988,∞,2021-11-20-17:25:32.9352458-05:00
1057,∞,2021-11-20-17:25:32.9352474-05:00
1352,∞,2021-11-20-17:25:32.9352490-05:00
35,∞,2021-11-20-17:25:32.9352575-05:00
768,∞,2021-11-20-17:25:32.9352600-05:00
1623,∞,2021-11-20-17:25:32.9352620-05:00
1149,∞,2021-11-20-17:25:32.9352637-05:00
1800,∞,2021-11-20-17:25:32.9352654-05:00
228,∞,2021-11-20-17:25:32.9352670-05:00
1846,∞,2021-11-20-17:25:32.9352687-05:00
440,∞,2021-11-20-17:25:32.9352704-05:00
1771,∞,2021-11-20-17:25:32.9352720-05:00
652,∞,2021-11-20-17:25:32.9352737-05:00
248,∞,2021-11-20-17:25:32.9352754-05:00
467,∞,2021-11-20-17:25:32.9352770-05:00
1656,∞,2021-11-20-17:25:32.9352787-05:00
1257,∞,2021-11-20-17:25:32.9352803-05:00
1830,∞,2021-11-20-17:25:32.9352820-05:00
1900,∞,2021-11-20-17:25:32.9352837-05:00
1790,∞,2021-11-20-17:25:32.9352853-05:00
1360,∞,2021-11-20-17:25:32.9352870-05:00
1906,∞,2021-11-20-17:25:32.9352887-05:00
527,∞,2021-11-20-17:25:32.9352903-05:00
234,∞,2021-11-20-17:25:32.9352920-05:00
1043,∞,2021-11-20-17:25:32.9352936-05:00
1113,∞,2021-11-20-17:25:32.9352953-05:00
1728,∞,2021-11-20-17:25:32.9352970-05:00
1316,∞,2021-11-20-17:25:32.9352987-05:00
1620,∞,2021-11-20-17:25:32.9353003-05:00
1830,∞,2021-11-20-17:25:32.9353020-05:00
1734,∞,2021-11-20-17:25:32.9353130-05:00
1888,∞,2021-11-20-17:25:32.9353157-05:00
12,∞,2021-11-20-17:25:32.9353176-05:00
1667,∞,2021-11-20-17:25:32.9353194-05:00
910,∞,2021-11-20-17:25:32.9353210-05:00
253,∞,2021-11-20-17:25:32.9353227-05:00
887,∞,2021-11-20-17:25:32.9353244-05:00
321,∞,2021-11-20-17:25:32.9353261-05:00
1621,∞,2021-11-20-17:25:32.9353278-05:00
1572,∞,2021-11-20-17:25:32.9353295-05:00
1689,∞,2021-11-20-17:25:32.9353311-05:00
1555,∞,2021-11-20-17:25:32.9353328-05:00
904,∞,2021-11-20-17:25:32.9353345-05:00
1806,∞,2021-11-20-17:25:32.9353362-05:00
1408,∞,2021-11-20-17:25:32.9353379-05:00
1711,∞,2021-11-20-17:25:32.9353396-05:00
292,∞,2021-11-20-17:25:32.9353413-05:00
913,∞,2021-11-20-17:25:32.9353429-05:00
264,∞,2021-11-20-17:25:32.9353446-05:00
1349,∞,2021-11-20-17:25:32.9353463-05:00
354,∞,2021-11-20-17:25:32.9353498-05:00
1445,∞,2021-11-20-17:25:32.9353520-05:00
737,∞,2021-11-20-17:25:32.9353539-05:00
234,∞,2021-11-20-17:25:32.9353556-05:00
1425,∞,2021-11-20-17:25:32.9353573-05:00
1082,∞,2021-11-20-17:25:32.9353590-05:00
530,∞,2021-11-20-17:25:32.9353607-05:00
1119,∞,2021-11-20-17:25:32.9353624-05:00
991,∞,2021-11-20-17:25:32.9353641-05:00
1654,∞,2021-11-20-17:25:32.9353658-05:00
1894,∞,2021-11-20-17:25:32.9353675-05:00
1833,∞,2021-11-20-17:25:32.9353691-05:00
180,∞,2021-11-20-17:25:32.9353708-05:00
397,∞,2021-11-20-17:25:32.9353724-05:00
112,∞,2021-11-20-17:25:32.9353785-05:00
551,∞,2021-11-20-17:25:32.9353808-05:00
1760,∞,2021-11-20-17:25:32.9353826-05:00
985,∞,2021-11-20-17:25:32.9353843-05:00
1337,∞,2021-11-20-17:25:32.9353861-05:00
214,∞,2021-11-20-17:25:32.9353878-05:00
770,∞,2021-11-20-17:25:32.9353895-05:00
937,∞,2021-11-20-17:25:32.9353911-05:00
209,∞,2021-11-20-17:25:32.9353928-05:00
328,∞,2021-11-20-17:25:32.9353945-05:00
102,∞,2021-11-20-17:25:32.9353962-05:00
1805,∞,2021-11-20-17:25:32.9353979-05:00
1003,∞,2021-11-20-17:25:32.9353996-05:00
721,∞,2021-11-20-17:25:32.9354013-05:00
825,∞,2021-11-20-17:25:32.9354030-05:00
1332,∞,2021-11-20-17:25:32.9354047-05:00
821,∞,2021-11-20-17:25:32.9354064-05:00
816,∞,2021-11-20-17:25:32.9354081-05:00
1052,∞,2021-11-20-17:25:32.9354098-05:00
272,∞,2021-11-20-17:25:32.9354115-05:00
1477,∞,2021-11-20-17:25:32.9354132-05:00
289,∞,2021-11-20-17:25:32.9354149-05:00
1152,∞,2021-11-20-17:25:32.9354166-05:00
1777,∞,2021-11-20-17:25:32.9354183-05:00
243,∞,2021-11-20-17:25:32.9354200-05:00
1828,∞,2021-11-20-17:25:32.9354218-05:00
1722,∞,2021-11-20-17:25:32.9354235-05:00
1767,∞,2021-11-20-17:25:32.9354252-05:00
1330,∞,2021-11-20-17:25:32.9354269-05:00
1967,∞,2021-11-20-17:25:32.9354286-05:00
1678,∞,2021-11-20-17:25:32.9354302-05:00
1855,∞,2021-11-20-17:25:32.9354319-05:00
1375,∞,2021-11-20-17:25:32.9354336-05:00
507,∞,2021-11-20-17:25:32.9354353-05:00
1695,∞,2021-11-20-17:25:32.9354413-05:00
857,∞,2021-11-20-17:25:32.9354453-05:00
1951,∞,2021-11-20-17:25:32.9354474-05:00
1307,∞,2021-11-20-17:25:32.9354491-05:00
1575,∞,2021-11-20-17:25:32.9354508-05:00
50,∞,2021-11-20-17:25:32.9354525-05:00
579,∞,2021-11-20-17:25:32.9354541-05:00
1417,∞,2021-11-20-17:25:32.9354558-05:00
1237,∞,2021-11-20-17:25:32.9354574-05:00
409,∞,2021-11-20-17:25:32.9354591-05:00
132,∞,2021-11-20-17:25:32.9354607-05:00
1619,∞,2021-11-20-17:25:32.9354624-05:00
80,∞,2021-11-20-17:25:32.9354641-05:00
1809,∞,2021-11-20-17:25:32.9354657-05:00
295,∞,2021-11-20-17:25:32.9354673-05:00
1659,∞,2021-11-20-17:25:32.9354691-05:00
834,∞,2021-11-20-17:25:32.9354707-05:00
1078,∞,2021-11-20-17:25:32.9354723-05:00
781,∞,2021-11-20-17:25:32.9354740-05:00
1908,∞,2021-11-20-17:25:32.9354756-05:00
919,∞,2021-11-20-17:25:32.9354772-05:00
1822,∞,2021-11-20-17:25:32.9354789-05:00
1399,∞,2021-11-20-17:25:32.9354805-05:00
1982,∞,2021-11-20-17:25:32.9354821-05:00
743,∞,2021-11-20-17:25:32.9354837-05:00
1509,∞,2021-11-20-17:25:32.9354854-05:00
491,∞,2021-11-20-17:25:32.9354870-05:00
1002,∞,2021-11-20-17:25:32.9354887-05:00
1606,∞,2021-11-20-17:25:32.9354903-05:00
242,∞,2021-11-20-17:25:32.9354919-05:00
649,∞,2021-11-20-17:25:32.9354936-05:00
247,∞,2021-11-20-17:25:32.9354952-05:00
431,∞,2021-11-20-17:25:32.9354968-05:00
