Start |2021-11-20-17:15:22.8121997-05:00
686,686,2021-11-20-17:15:22.8155564-05:00
1573,1079078,2021-11-20-17:15:22.8157745-05:00
1476,1592719128,2021-11-20-17:15:22.8157896-05:00
677,1078270849656,2021-11-20-17:15:22.8157932-05:00
201,216732440780856,2021-11-20-17:15:22.8157956-05:00
1399,1,1508184200984656E+235,2021-11-20-17:15:22.8159958-05:00
590,6,789828678580947E+237,2021-11-20-17:15:22.8159978-05:00
510,3,462812626076283E+240,2021-11-20-17:15:22.8160062-05:00
1257,4,3527554709778876E+243,2021-11-20-17:15:22.8160091-05:00
297,1,2927683748804326E+246,2021-11-20-17:15:22.8160113-05:00
456,5,895023789454772E+248,2021-11-20-17:15:22.8160134-05:00
316,1,862827517467708E+251,2021-11-20-17:15:22.8160154-05:00
943,1,7566463489720485E+254,2021-11-20-17:15:22.8160174-05:00
1511,2,6542926332967653E+257,2021-11-20-17:15:22.8160194-05:00
1524,4,04514197314427E+260,2021-11-20-17:15:22.8160214-05:00
1600,6,472227157030833E+263,2021-11-20-17:15:22.8160234-05:00
623,4,0321975188302086E+266,2021-11-20-17:15:22.8160254-05:00
1867,7,528112767656E+269,2021-11-20-17:15:22.8160274-05:00
1330,1,001238998098248E+273,2021-11-20-17:15:22.8160294-05:00
174,1,7421558566909516E+275,2021-11-20-17:15:22.8160314-05:00
1241,2,162015418153471E+278,2021-11-20-17:15:22.8160333-05:00
1281,2,7695417506545962E+281,2021-11-20-17:15:22.8160353-05:00
1915,5,303672452503552E+284,2021-11-20-17:15:22.8160373-05:00
1859,9,859527089204103E+287,2021-11-20-17:15:22.8160393-05:00
1138,1,122014182751427E+291,2021-11-20-17:15:22.8160413-05:00
1258,1,411493841901295E+294,2021-11-20-17:15:22.8160459-05:00
708,9,993376400661169E+296,2021-11-20-17:15:22.8160506-05:00
200,1,998675280132234E+299,2021-11-20-17:15:22.8160529-05:00
195,3,8974167962578564E+301,2021-11-20-17:15:22.8160550-05:00
525,2,0461438180353745E+304,2021-11-20-17:15:22.8160570-05:00
410,8,389189653945036E+306,2021-11-20-17:15:22.8160590-05:00
1144,∞,2021-11-20-17:15:22.8160610-05:00
1940,∞,2021-11-20-17:15:22.8160831-05:00
974,∞,2021-11-20-17:15:22.8160897-05:00
1769,∞,2021-11-20-17:15:22.8160922-05:00
217,∞,2021-11-20-17:15:22.8160939-05:00
1628,∞,2021-11-20-17:15:22.8160955-05:00
1259,∞,2021-11-20-17:15:22.8161029-05:00
224,∞,2021-11-20-17:15:22.8161051-05:00
945,∞,2021-11-20-17:15:22.8161068-05:00
301,∞,2021-11-20-17:15:22.8161084-05:00
1077,∞,2021-11-20-17:15:22.8161099-05:00
1527,∞,2021-11-20-17:15:22.8161114-05:00
252,∞,2021-11-20-17:15:22.8161129-05:00
445,∞,2021-11-20-17:15:22.8161143-05:00
1246,∞,2021-11-20-17:15:22.8161158-05:00
1633,∞,2021-11-20-17:15:22.8161172-05:00
946,∞,2021-11-20-17:15:22.8161187-05:00
1860,∞,2021-11-20-17:15:22.8161202-05:00
198,∞,2021-11-20-17:15:22.8161216-05:00
1922,∞,2021-11-20-17:15:22.8161231-05:00
1417,∞,2021-11-20-17:15:22.8161246-05:00
1335,∞,2021-11-20-17:15:22.8161261-05:00
946,∞,2021-11-20-17:15:22.8161275-05:00
283,∞,2021-11-20-17:15:22.8161290-05:00
145,∞,2021-11-20-17:15:22.8161305-05:00
1531,∞,2021-11-20-17:15:22.8161338-05:00
686,∞,2021-11-20-17:15:22.8161358-05:00
1221,∞,2021-11-20-17:15:22.8161373-05:00
813,∞,2021-11-20-17:15:22.8161388-05:00
691,∞,2021-11-20-17:15:22.8161403-05:00
390,∞,2021-11-20-17:15:22.8161418-05:00
316,∞,2021-11-20-17:15:22.8161433-05:00
732,∞,2021-11-20-17:15:22.8161447-05:00
1886,∞,2021-11-20-17:15:22.8161461-05:00
1311,∞,2021-11-20-17:15:22.8161476-05:00
376,∞,2021-11-20-17:15:22.8161490-05:00
1968,∞,2021-11-20-17:15:22.8161505-05:00
1742,∞,2021-11-20-17:15:22.8161521-05:00
1308,∞,2021-11-20-17:15:22.8161536-05:00
1972,∞,2021-11-20-17:15:22.8161550-05:00
1363,∞,2021-11-20-17:15:22.8161568-05:00
1643,∞,2021-11-20-17:15:22.8161585-05:00
385,∞,2021-11-20-17:15:22.8161599-05:00
1872,∞,2021-11-20-17:15:22.8161615-05:00
165,∞,2021-11-20-17:15:22.8161629-05:00
1754,∞,2021-11-20-17:15:22.8161644-05:00
1663,∞,2021-11-20-17:15:22.8161658-05:00
1414,∞,2021-11-20-17:15:22.8161672-05:00
1891,∞,2021-11-20-17:15:22.8161687-05:00
1625,∞,2021-11-20-17:15:22.8161702-05:00
1762,∞,2021-11-20-17:15:22.8161716-05:00
339,∞,2021-11-20-17:15:22.8161730-05:00
1997,∞,2021-11-20-17:15:22.8161822-05:00
603,∞,2021-11-20-17:15:22.8161848-05:00
992,∞,2021-11-20-17:15:22.8161866-05:00
1809,∞,2021-11-20-17:15:22.8161881-05:00
994,∞,2021-11-20-17:15:22.8161896-05:00
692,∞,2021-11-20-17:15:22.8161910-05:00
1624,∞,2021-11-20-17:15:22.8161924-05:00
685,∞,2021-11-20-17:15:22.8161939-05:00
943,∞,2021-11-20-17:15:22.8161953-05:00
39,∞,2021-11-20-17:15:22.8161967-05:00
1411,∞,2021-11-20-17:15:22.8161981-05:00
254,∞,2021-11-20-17:15:22.8161996-05:00
1911,∞,2021-11-20-17:15:22.8162010-05:00
761,∞,2021-11-20-17:15:22.8162024-05:00
795,∞,2021-11-20-17:15:22.8162038-05:00
365,∞,2021-11-20-17:15:22.8162052-05:00
1134,∞,2021-11-20-17:15:22.8162066-05:00
871,∞,2021-11-20-17:15:22.8162081-05:00
1664,∞,2021-11-20-17:15:22.8162094-05:00
1203,∞,2021-11-20-17:15:22.8162108-05:00
553,∞,2021-11-20-17:15:22.8162122-05:00
225,∞,2021-11-20-17:15:22.8162136-05:00
559,∞,2021-11-20-17:15:22.8162150-05:00
1773,∞,2021-11-20-17:15:22.8162164-05:00
950,∞,2021-11-20-17:15:22.8162178-05:00
1074,∞,2021-11-20-17:15:22.8162192-05:00
119,∞,2021-11-20-17:15:22.8162206-05:00
391,∞,2021-11-20-17:15:22.8162220-05:00
1867,∞,2021-11-20-17:15:22.8162234-05:00
1271,∞,2021-11-20-17:15:22.8162248-05:00
1329,∞,2021-11-20-17:15:22.8162262-05:00
1188,∞,2021-11-20-17:15:22.8162276-05:00
929,∞,2021-11-20-17:15:22.8162290-05:00
51,∞,2021-11-20-17:15:22.8162304-05:00
319,∞,2021-11-20-17:15:22.8162382-05:00
130,∞,2021-11-20-17:15:22.8162422-05:00
895,∞,2021-11-20-17:15:22.8162442-05:00
1502,∞,2021-11-20-17:15:22.8162459-05:00
1381,∞,2021-11-20-17:15:22.8162475-05:00
1277,∞,2021-11-20-17:15:22.8162491-05:00
119,∞,2021-11-20-17:15:22.8162507-05:00
623,∞,2021-11-20-17:15:22.8162523-05:00
1030,∞,2021-11-20-17:15:22.8162539-05:00
1325,∞,2021-11-20-17:15:22.8162555-05:00
233,∞,2021-11-20-17:15:22.8162571-05:00
131,∞,2021-11-20-17:15:22.8162587-05:00
1961,∞,2021-11-20-17:15:22.8162602-05:00
1403,∞,2021-11-20-17:15:22.8162618-05:00
959,∞,2021-11-20-17:15:22.8162634-05:00
1298,∞,2021-11-20-17:15:22.8162651-05:00
281,∞,2021-11-20-17:15:22.8162667-05:00
1021,∞,2021-11-20-17:15:22.8162683-05:00
1960,∞,2021-11-20-17:15:22.8162699-05:00
559,∞,2021-11-20-17:15:22.8162715-05:00
1786,∞,2021-11-20-17:15:22.8162731-05:00
1772,∞,2021-11-20-17:15:22.8162747-05:00
45,∞,2021-11-20-17:15:22.8162762-05:00
1218,∞,2021-11-20-17:15:22.8162778-05:00
859,∞,2021-11-20-17:15:22.8162794-05:00
1919,∞,2021-11-20-17:15:22.8162810-05:00
574,∞,2021-11-20-17:15:22.8162826-05:00
1234,∞,2021-11-20-17:15:22.8162842-05:00
818,∞,2021-11-20-17:15:22.8162858-05:00
1671,∞,2021-11-20-17:15:22.8162874-05:00
709,∞,2021-11-20-17:15:22.8162890-05:00
224,∞,2021-11-20-17:15:22.8162909-05:00
1325,∞,2021-11-20-17:15:22.8162925-05:00
1860,∞,2021-11-20-17:15:22.8162941-05:00
443,∞,2021-11-20-17:15:22.8163000-05:00
666,∞,2021-11-20-17:15:22.8163022-05:00
1470,∞,2021-11-20-17:15:22.8163038-05:00
1631,∞,2021-11-20-17:15:22.8163053-05:00
1489,∞,2021-11-20-17:15:22.8163068-05:00
387,∞,2021-11-20-17:15:22.8163083-05:00
1085,∞,2021-11-20-17:15:22.8163098-05:00
1929,∞,2021-11-20-17:15:22.8163113-05:00
1195,∞,2021-11-20-17:15:22.8163128-05:00
1233,∞,2021-11-20-17:15:22.8163143-05:00
1541,∞,2021-11-20-17:15:22.8163158-05:00
820,∞,2021-11-20-17:15:22.8163173-05:00
1113,∞,2021-11-20-17:15:22.8163188-05:00
716,∞,2021-11-20-17:15:22.8163203-05:00
1431,∞,2021-11-20-17:15:22.8163218-05:00
570,∞,2021-11-20-17:15:22.8163233-05:00
990,∞,2021-11-20-17:15:22.8163266-05:00
308,∞,2021-11-20-17:15:22.8163286-05:00
1227,∞,2021-11-20-17:15:22.8163302-05:00
370,∞,2021-11-20-17:15:22.8163318-05:00
265,∞,2021-11-20-17:15:22.8163335-05:00
546,∞,2021-11-20-17:15:22.8163350-05:00
86,∞,2021-11-20-17:15:22.8163365-05:00
1676,∞,2021-11-20-17:15:22.8163380-05:00
644,∞,2021-11-20-17:15:22.8163396-05:00
1461,∞,2021-11-20-17:15:22.8163411-05:00
704,∞,2021-11-20-17:15:22.8163426-05:00
884,∞,2021-11-20-17:15:22.8163441-05:00
1805,∞,2021-11-20-17:15:22.8163456-05:00
1358,∞,2021-11-20-17:15:22.8163475-05:00
616,∞,2021-11-20-17:15:22.8163491-05:00
9,∞,2021-11-20-17:15:22.8163506-05:00
805,∞,2021-11-20-17:15:22.8163521-05:00
102,∞,2021-11-20-17:15:22.8163536-05:00
960,∞,2021-11-20-17:15:22.8163594-05:00
294,∞,2021-11-20-17:15:22.8163615-05:00
1827,∞,2021-11-20-17:15:22.8163631-05:00
650,∞,2021-11-20-17:15:22.8163646-05:00
1532,∞,2021-11-20-17:15:22.8163661-05:00
1574,∞,2021-11-20-17:15:22.8163676-05:00
1474,∞,2021-11-20-17:15:22.8163691-05:00
1856,∞,2021-11-20-17:15:22.8163706-05:00
577,∞,2021-11-20-17:15:22.8163720-05:00
811,∞,2021-11-20-17:15:22.8163735-05:00
1677,∞,2021-11-20-17:15:22.8163749-05:00
39,∞,2021-11-20-17:15:22.8163764-05:00
807,∞,2021-11-20-17:15:22.8163778-05:00
1857,∞,2021-11-20-17:15:22.8163792-05:00
1802,∞,2021-11-20-17:15:22.8163806-05:00
248,∞,2021-11-20-17:15:22.8163821-05:00
681,∞,2021-11-20-17:15:22.8163836-05:00
402,∞,2021-11-20-17:15:22.8163850-05:00
997,∞,2021-11-20-17:15:22.8163865-05:00
956,∞,2021-11-20-17:15:22.8163879-05:00
1595,∞,2021-11-20-17:15:22.8163893-05:00
1897,∞,2021-11-20-17:15:22.8163907-05:00
580,∞,2021-11-20-17:15:22.8163922-05:00
1794,∞,2021-11-20-17:15:22.8163936-05:00
988,∞,2021-11-20-17:15:22.8163950-05:00
28,∞,2021-11-20-17:15:22.8163964-05:00
1683,∞,2021-11-20-17:15:22.8163978-05:00
202,∞,2021-11-20-17:15:22.8163993-05:00
125,∞,2021-11-20-17:15:22.8164007-05:00
1836,∞,2021-11-20-17:15:22.8164021-05:00
618,∞,2021-11-20-17:15:22.8164035-05:00
1532,∞,2021-11-20-17:15:22.8164049-05:00
15,∞,2021-11-20-17:15:22.8164080-05:00
1012,∞,2021-11-20-17:15:22.8164100-05:00
1755,∞,2021-11-20-17:15:22.8164159-05:00
1137,∞,2021-11-20-17:15:22.8164179-05:00
742,∞,2021-11-20-17:15:22.8164196-05:00
341,∞,2021-11-20-17:15:22.8164211-05:00
776,∞,2021-11-20-17:15:22.8164226-05:00
1653,∞,2021-11-20-17:15:22.8164241-05:00
895,∞,2021-11-20-17:15:22.8164257-05:00
408,∞,2021-11-20-17:15:22.8164272-05:00
1968,∞,2021-11-20-17:15:22.8164287-05:00
1274,∞,2021-11-20-17:15:22.8164302-05:00
1998,∞,2021-11-20-17:15:22.8164317-05:00
605,∞,2021-11-20-17:15:22.8164333-05:00
655,∞,2021-11-20-17:15:22.8164348-05:00
846,∞,2021-11-20-17:15:22.8164363-05:00
1081,∞,2021-11-20-17:15:22.8164378-05:00
1557,∞,2021-11-20-17:15:22.8164393-05:00
678,∞,2021-11-20-17:15:22.8164408-05:00
215,∞,2021-11-20-17:15:22.8164423-05:00
1012,∞,2021-11-20-17:15:22.8164438-05:00
1849,∞,2021-11-20-17:15:22.8164454-05:00
506,∞,2021-11-20-17:15:22.8164469-05:00
1063,∞,2021-11-20-17:15:22.8164484-05:00
1714,∞,2021-11-20-17:15:22.8164499-05:00
34,∞,2021-11-20-17:15:22.8164514-05:00
1661,∞,2021-11-20-17:15:22.8164529-05:00
1505,∞,2021-11-20-17:15:22.8164545-05:00
1890,∞,2021-11-20-17:15:22.8164560-05:00
1273,∞,2021-11-20-17:15:22.8164575-05:00
1732,∞,2021-11-20-17:15:22.8164590-05:00
741,∞,2021-11-20-17:15:22.8164605-05:00
194,∞,2021-11-20-17:15:22.8164621-05:00
145,∞,2021-11-20-17:15:22.8164636-05:00
25,∞,2021-11-20-17:15:22.8164651-05:00
1794,∞,2021-11-20-17:15:22.8164666-05:00
103,∞,2021-11-20-17:15:22.8164726-05:00
666,∞,2021-11-20-17:15:22.8164747-05:00
1506,∞,2021-11-20-17:15:22.8164763-05:00
340,∞,2021-11-20-17:15:22.8164779-05:00
1625,∞,2021-11-20-17:15:22.8164794-05:00
1343,∞,2021-11-20-17:15:22.8164810-05:00
61,∞,2021-11-20-17:15:22.8164825-05:00
1188,∞,2021-11-20-17:15:22.8164842-05:00
1928,∞,2021-11-20-17:15:22.8164857-05:00
1305,∞,2021-11-20-17:15:22.8164872-05:00
1795,∞,2021-11-20-17:15:22.8164888-05:00
383,∞,2021-11-20-17:15:22.8164903-05:00
1372,∞,2021-11-20-17:15:22.8164919-05:00
837,∞,2021-11-20-17:15:22.8164934-05:00
1120,∞,2021-11-20-17:15:22.8164950-05:00
568,∞,2021-11-20-17:15:22.8164965-05:00
1159,∞,2021-11-20-17:15:22.8164981-05:00
403,∞,2021-11-20-17:15:22.8164996-05:00
520,∞,2021-11-20-17:15:22.8165011-05:00
166,∞,2021-11-20-17:15:22.8165027-05:00
507,∞,2021-11-20-17:15:22.8165042-05:00
693,∞,2021-11-20-17:15:22.8165058-05:00
1423,∞,2021-11-20-17:15:22.8165073-05:00
708,∞,2021-11-20-17:15:22.8165089-05:00
680,∞,2021-11-20-17:15:22.8165105-05:00
1271,∞,2021-11-20-17:15:22.8165120-05:00
1762,∞,2021-11-20-17:15:22.8165136-05:00
1622,∞,2021-11-20-17:15:22.8165151-05:00
676,∞,2021-11-20-17:15:22.8165167-05:00
1228,∞,2021-11-20-17:15:22.8165182-05:00
1081,∞,2021-11-20-17:15:22.8165198-05:00
1854,∞,2021-11-20-17:15:22.8165213-05:00
580,∞,2021-11-20-17:15:22.8165229-05:00
860,∞,2021-11-20-17:15:22.8165244-05:00
744,∞,2021-11-20-17:15:22.8165262-05:00
416,∞,2021-11-20-17:15:22.8165279-05:00
51,∞,2021-11-20-17:15:22.8165364-05:00
338,∞,2021-11-20-17:15:22.8165386-05:00
589,∞,2021-11-20-17:15:22.8165403-05:00
1668,∞,2021-11-20-17:15:22.8165419-05:00
1788,∞,2021-11-20-17:15:22.8165434-05:00
1317,∞,2021-11-20-17:15:22.8165448-05:00
1134,∞,2021-11-20-17:15:22.8165463-05:00
409,∞,2021-11-20-17:15:22.8165477-05:00
238,∞,2021-11-20-17:15:22.8165492-05:00
1278,∞,2021-11-20-17:15:22.8165507-05:00
133,∞,2021-11-20-17:15:22.8165522-05:00
1054,∞,2021-11-20-17:15:22.8165536-05:00
153,∞,2021-11-20-17:15:22.8165550-05:00
1164,∞,2021-11-20-17:15:22.8165565-05:00
1581,∞,2021-11-20-17:15:22.8165579-05:00
1790,∞,2021-11-20-17:15:22.8165593-05:00
1624,∞,2021-11-20-17:15:22.8165608-05:00
1859,∞,2021-11-20-17:15:22.8165622-05:00
1288,∞,2021-11-20-17:15:22.8165636-05:00
1409,∞,2021-11-20-17:15:22.8165651-05:00
1242,∞,2021-11-20-17:15:22.8165666-05:00
799,∞,2021-11-20-17:15:22.8165741-05:00
1660,∞,2021-11-20-17:15:22.8165763-05:00
355,∞,2021-11-20-17:15:22.8165781-05:00
1581,∞,2021-11-20-17:15:22.8165797-05:00
439,∞,2021-11-20-17:15:22.8165812-05:00
513,∞,2021-11-20-17:15:22.8165826-05:00
700,∞,2021-11-20-17:15:22.8165841-05:00
224,∞,2021-11-20-17:15:22.8165856-05:00
1941,∞,2021-11-20-17:15:22.8165870-05:00
1803,∞,2021-11-20-17:15:22.8165885-05:00
512,∞,2021-11-20-17:15:22.8165899-05:00
93,∞,2021-11-20-17:15:22.8165913-05:00
705,∞,2021-11-20-17:15:22.8165928-05:00
518,∞,2021-11-20-17:15:22.8165942-05:00
821,∞,2021-11-20-17:15:22.8165957-05:00
1814,∞,2021-11-20-17:15:22.8165971-05:00
851,∞,2021-11-20-17:15:22.8165985-05:00
378,∞,2021-11-20-17:15:22.8165999-05:00
1189,∞,2021-11-20-17:15:22.8166014-05:00
1558,∞,2021-11-20-17:15:22.8166028-05:00
1015,∞,2021-11-20-17:15:22.8166043-05:00
471,∞,2021-11-20-17:15:22.8166057-05:00
1401,∞,2021-11-20-17:15:22.8166072-05:00
1138,∞,2021-11-20-17:15:22.8166086-05:00
709,∞,2021-11-20-17:15:22.8166100-05:00
1470,∞,2021-11-20-17:15:22.8166114-05:00
1511,∞,2021-11-20-17:15:22.8166129-05:00
1646,∞,2021-11-20-17:15:22.8166143-05:00
1291,∞,2021-11-20-17:15:22.8166157-05:00
231,∞,2021-11-20-17:15:22.8166171-05:00
721,∞,2021-11-20-17:15:22.8166186-05:00
1572,∞,2021-11-20-17:15:22.8166200-05:00
1335,∞,2021-11-20-17:15:22.8166214-05:00
1173,∞,2021-11-20-17:15:22.8166228-05:00
1252,∞,2021-11-20-17:15:22.8166285-05:00
678,∞,2021-11-20-17:15:22.8166307-05:00
234,∞,2021-11-20-17:15:22.8166324-05:00
88,∞,2021-11-20-17:15:22.8166357-05:00
1350,∞,2021-11-20-17:15:22.8166376-05:00
805,∞,2021-11-20-17:15:22.8166393-05:00
435,∞,2021-11-20-17:15:22.8166408-05:00
185,∞,2021-11-20-17:15:22.8166423-05:00
297,∞,2021-11-20-17:15:22.8166438-05:00
1475,∞,2021-11-20-17:15:22.8166452-05:00
1620,∞,2021-11-20-17:15:22.8166466-05:00
961,∞,2021-11-20-17:15:22.8166480-05:00
1448,∞,2021-11-20-17:15:22.8166495-05:00
647,∞,2021-11-20-17:15:22.8166509-05:00
760,∞,2021-11-20-17:15:22.8166524-05:00
1976,∞,2021-11-20-17:15:22.8166538-05:00
773,∞,2021-11-20-17:15:22.8166552-05:00
1482,∞,2021-11-20-17:15:22.8166566-05:00
99,∞,2021-11-20-17:15:22.8166580-05:00
1850,∞,2021-11-20-17:15:22.8166595-05:00
228,∞,2021-11-20-17:15:22.8166609-05:00
328,∞,2021-11-20-17:15:22.8166623-05:00
260,∞,2021-11-20-17:15:22.8166638-05:00
1217,∞,2021-11-20-17:15:22.8166652-05:00
873,∞,2021-11-20-17:15:22.8166666-05:00
968,∞,2021-11-20-17:15:22.8166680-05:00
1002,∞,2021-11-20-17:15:22.8166695-05:00
1054,∞,2021-11-20-17:15:22.8166709-05:00
933,∞,2021-11-20-17:15:22.8166723-05:00
1711,∞,2021-11-20-17:15:22.8166737-05:00
1082,∞,2021-11-20-17:15:22.8166752-05:00
940,∞,2021-11-20-17:15:22.8166766-05:00
758,∞,2021-11-20-17:15:22.8166780-05:00
1531,∞,2021-11-20-17:15:22.8166795-05:00
1265,∞,2021-11-20-17:15:22.8166851-05:00
144,∞,2021-11-20-17:15:22.8166872-05:00
1580,∞,2021-11-20-17:15:22.8166888-05:00
764,∞,2021-11-20-17:15:22.8166903-05:00
1027,∞,2021-11-20-17:15:22.8166918-05:00
385,∞,2021-11-20-17:15:22.8166933-05:00
1124,∞,2021-11-20-17:15:22.8166948-05:00
830,∞,2021-11-20-17:15:22.8166963-05:00
175,∞,2021-11-20-17:15:22.8166978-05:00
1925,∞,2021-11-20-17:15:22.8166993-05:00
1517,∞,2021-11-20-17:15:22.8167008-05:00
1747,∞,2021-11-20-17:15:22.8167023-05:00
23,∞,2021-11-20-17:15:22.8167038-05:00
864,∞,2021-11-20-17:15:22.8167073-05:00
886,∞,2021-11-20-17:15:22.8167153-05:00
1314,∞,2021-11-20-17:15:22.8167172-05:00
1457,∞,2021-11-20-17:15:22.8167188-05:00
1239,∞,2021-11-20-17:15:22.8167204-05:00
1474,∞,2021-11-20-17:15:22.8167241-05:00
1484,∞,2021-11-20-17:15:22.8167356-05:00
946,∞,2021-11-20-17:15:22.8167373-05:00
924,∞,2021-11-20-17:15:22.8167388-05:00
418,∞,2021-11-20-17:15:22.8167403-05:00
1017,∞,2021-11-20-17:15:22.8167418-05:00
1214,∞,2021-11-20-17:15:22.8167433-05:00
382,∞,2021-11-20-17:15:22.8167447-05:00
1802,∞,2021-11-20-17:15:22.8167461-05:00
1381,∞,2021-11-20-17:15:22.8167476-05:00
1251,∞,2021-11-20-17:15:22.8167490-05:00
585,∞,2021-11-20-17:15:22.8167504-05:00
393,∞,2021-11-20-17:15:22.8167519-05:00
681,∞,2021-11-20-17:15:22.8167533-05:00
203,∞,2021-11-20-17:15:22.8167547-05:00
1917,∞,2021-11-20-17:15:22.8167562-05:00
